description,evaluate,info,name,rank,star
史诗大片的典范。,325609人评价,"导演: 梅尔·吉布森 Mel Gibson主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
1995/美国/动作 传记 剧情 历史 战争",勇敢的心,67,8.8
美丽无罪。,408262人评价,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 莫妮卡·贝鲁奇 Monica ...
2000/意大利 美国/剧情 战争 情色",西西里的美丽传说,68,8.8
故事的高级讲法。,382549人评价,"导演: 昆汀·塔伦蒂诺 Quentin Tarantino主演: 约翰·特拉沃尔塔 John Tra...
1994/美国/剧情 喜剧 犯罪",低俗小说,69,8.8
美利坚精神输出大片No1.,276204人评价,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 汤姆·汉克斯 Tom Hanks...
1998/美国/剧情 历史 战争",拯救大兵瑞恩,70,8.9
视觉革命。,322562人评价,"导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski主...
1999/美国 澳大利亚/动作 科幻",黑客帝国,71,8.8
浪漫忧郁的成人童话。,545171人评价,"导演: Tim Burton主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...
1990/美国/剧情 奇幻 爱情",剪刀手爱德华,72,8.7
你给我翻译翻译，神马叫做TMD的惊喜。,719832人评价,"导演: 姜文 Wen Jiang主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
2010/中国大陆 香港/剧情 喜剧 动作 西部",让子弹飞,73,8.7
安东尼·霍普金斯的顶级表演。,398375人评价,"导演: 乔纳森·戴米 Jonathan Demme主演: 朱迪·福斯特 Jodie Foster / 安...
1991/美国/剧情 犯罪 惊悚",沉默的羔羊,74,8.7
你以为你以为的就是你以为的。,416615人评价,"导演: 奥里奥尔·保罗 Oriol Paulo主演: 马里奥·卡萨斯 Mario Casas / 阿...
2016/西班牙/剧情 犯罪 悬疑 惊悚",看不见的客人,75,8.7
人的命运被自己瞬间的抉择改变。,432296人评价,"导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber主...
2004/美国 加拿大/剧情 悬疑 科幻 惊悚",蝴蝶效应,76,8.7
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,347985人评价,"导演: 泷田洋二郎 Yôjirô Takita主演: 本木雅弘 Masahiro Motoki / ...
2008/日本/剧情",入殓师,77,8.8
经典之作，历久弥新。,120150人评价,"导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang主演: 邱岳峰 Yuefeng Qiu /...
1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆)/中国大陆/动画 奇幻",大闹天宫,78,9.3
爱情纠缠，男女一致。,283568人评价,"导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
1997/香港 日本 韩国/剧情 爱情 同性",春光乍泄,79,8.8
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,204933人评价,"导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci主演: 尊龙 John Lone / 陈...
1987/意大利 中国大陆 英国 法国/剧情 传记 历史",末代皇帝,80,9.0
你是我最好的朋友，你是我唯一的朋友 。,251582人评价,"导演: 亚当·艾略特 Adam Elliot主演: 托妮·科莱特 Toni Collette / 菲利...
2009/澳大利亚/剧情 动画",玛丽和马克思,81,8.9
人生中应该拥有这样的一段豁然开朗。,310301人评价,"导演: 格斯·范·桑特 Gus Van Sant主演: 马特·达蒙 Matt Damon / 罗宾·...
1997/美国/剧情",心灵捕手,82,8.8
一场华丽的意淫。,309299人评价,"导演: 姜文 Wen Jiang主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
1994/中国大陆 香港/剧情",阳光灿烂的日子,83,8.8
人与自然的战争史诗。,264525人评价,"导演: 宫崎骏 Hayao Miyazaki主演: 松田洋治 Yôji Matsuda / 石田百合...
1997/日本/动画 奇幻 冒险",幽灵公主,84,8.8
深入内心的恐怖，出人意料的结局。,263454人评价,"导演: M·奈特·沙马兰 M. Night Shyamalan主演: 布鲁斯·威利斯 Bruce Wi...
1999/美国/剧情 悬疑 惊悚",第六感,85,8.8
童话世界的开端。,306034人评价,"导演: Chris Columbus主演: Daniel Radcliffe / Emma Watson / Rupert Grint
2001/美国 英国/奇幻 冒险",哈利·波特与魔法石,86,8.8
小清新的故事里注入了大历史的情怀。,368430人评价,"导演: 韦斯·安德森 Wes Anderson主演: 拉尔夫·费因斯 Ralph Fiennes / ...
2014/美国 德国 英国/剧情 喜剧 冒险",布达佩斯大饭店,87,8.8
昔日翩翩少年，今日大腹便便。,409443人评价,"导演: Martin Scorsese主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
2010/美国/剧情 悬疑 惊悚",禁闭岛,88,8.7
寂寞没有期限。,376319人评价,"导演: 王家卫 Kar Wai Wong主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...
1994/香港/剧情 爱情",重庆森林,89,8.7
骗子大师和执著警探的你追我跑故事。 ,269298人评价,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 莱昂纳多·迪卡普里奥 L...
2002/美国 加拿大/传记 犯罪 剧情",猫鼠游戏,90,8.8
人言可畏。,151335人评价,"导演: 托马斯·温特伯格 Thomas Vinterberg主演: 麦斯·米科尔森 Mads Mik...
2012/丹麦 瑞典/剧情",狩猎,91,9.0
最不可能的那个人永远是最可能的。,360426人评价,"导演: James Mangold主演: John Cusack / Ray Liotta / Amanda Peet
2003/美国/剧情 悬疑 惊悚",致命ID,92,8.7
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,282839人评价,"导演: 蒂姆·波顿 Tim Burton主演: 伊万·麦克格雷格 Ewan McGregor / 阿...
2003/美国/剧情 家庭 奇幻 冒险",大鱼,93,8.7
每个人心中都有一座断背山。,359688人评价,"导演: 李安 Ang Lee主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...
2005/美国 加拿大/剧情 爱情 同性 家庭",断背山,94,8.7
百看不厌。 ,308752人评价,"导演: 刘镇伟 Jeffrey Lau主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...
1993/香港/喜剧 古装",射雕英雄传之东成西就,95,8.7
相逢只要一瞬间，等待却像是一辈子。,257018人评价,"导演: 陈可辛 Peter Chan主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...
1996/香港/剧情 爱情",甜蜜蜜,96,8.8
没有一人完全善，也没有一人完全恶。,382540人评价,"导演: 中岛哲也 Tetsuya Nakashima主演: 松隆子 Takako Matsu / 冈田将生 ...
2010/日本/剧情 惊悚",告白,97,8.7
约翰尼·德普的独角戏。,391970人评价,"导演: 戈尔·维宾斯基 Gore Verbinski主演: 约翰尼·德普 Johnny Depp / ...
2003/美国/动作 冒险 奇幻",加勒比海盗,98,8.6
我们都曾经是一一。,173571人评价,"导演: 杨德昌 Edward Yang主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...
2000/台湾 日本/剧情 爱情 家庭",一一,99,8.9
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,301873人评价,"导演: 姜炯哲 Hyeong-Cheol Kang主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...
2011/韩国/剧情 喜剧",阳光姐妹淘,100,8.8
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,174547人评价,"导演: 马克·赫门 Mark Herman主演: 阿沙·巴特菲尔德 Asa Butterfield / ...
2008/英国 美国/剧情 战争",穿条纹睡衣的男孩,101,8.9
大时代中的人生，小人物的悲喜。,103636人评价,"导演: 查理·卓别林 Charles Chaplin主演: 查理·卓别林 Charles Chaplin ...
1936/美国/喜剧 剧情 爱情",摩登时代,102,9.2
被上帝抛弃了的上帝之城。,171883人评价,"导演: Kátia Lund / Fernando Meirelles主演: Alexandre Rodrigues / Lea...
2002/巴西 法国/犯罪 剧情",上帝之城,103,8.9
绝对意义上的美轮美奂。,591341人评价,"导演: 詹姆斯·卡梅隆 James Cameron主演: 萨姆·沃辛顿 Sam Worthington ...
2009/美国 英国/动作 战争 科幻 冒险",阿凡达,104,8.6
缘分是个连绵词，最美不过一瞬。,249335人评价,"导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ...
1995/美国 奥地利 瑞士/剧情 爱情",爱在黎明破晓前,105,8.7
年度最佳date movie。,404797人评价,"导演: 大卫·芬奇 David Fincher主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...
2014/美国/剧情 犯罪 悬疑 惊悚",消失的爱人,106,8.7
动画片的圣经。,196806人评价,"导演: 宫崎骏 Hayao Miyazaki主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...
1984/日本/动画 奇幻 冒险",风之谷,107,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,221711人评价,"导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ...
2004/美国/剧情 爱情",爱在日落黄昏时,108,8.8
少女情怀总是诗。,191886人评价,"导演: 近藤喜文 Yoshifumi Kondo主演: 本名阳子 Youko Honna / 小林桂树 K...
1995/日本/剧情 爱情 动画",侧耳倾听,109,8.8
穷尽一生，我们要学会的，不过是彼此拥抱。,197434人评价,"导演: 托尼·凯耶 Tony Kaye主演: 艾德里安·布洛迪 Adrien Brody / 马西...
2011/美国/剧情",超脱,110,8.8
